Topic,Question,Difficulty,Link
Arrays & Strings,1 Two Sum,Easy,https://leetcode.com/problems/two-sum/
Arrays & Strings,3 Longest Substring Without Repeating Characters,Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/
Arrays & Strings,15 3Sum,Medium,https://leetcode.com/problems/3sum/
Arrays & Strings,239 Sliding Window Maximum,Hard,https://leetcode.com/problems/sliding-window-maximum/
Arrays & Strings,424 Longest Repeating Character Replacement,Medium,https://leetcode.com/problems/longest-repeating-character-replacement/
Arrays & Strings,560 Subarray Sum Equals K,Medium,https://leetcode.com/problems/subarray-sum-equals-k/
Arrays & Strings,76 Minimum Window Substring,Hard,https://leetcode.com/problems/minimum-window-substring/
Arrays & Strings,347 Top K Frequent Elements,Medium,https://leetcode.com/problems/top-k-frequent-elements/
Recursion & Backtracking,46 Permutations,Medium,https://leetcode.com/problems/permutations/
Recursion & Backtracking,77 Combinations,Medium,https://leetcode.com/problems/combinations/
Recursion & Backtracking,51 N-Queens,Hard,https://leetcode.com/problems/n-queens/
Recursion & Backtracking,22 Generate Parentheses,Medium,https://leetcode.com/problems/generate-parentheses/
Recursion & Backtracking,39 Combination Sum,Medium,https://leetcode.com/problems/combination-sum/
Recursion & Backtracking,17 Letter Combinations of a Phone Number,Medium,https://leetcode.com/problems/letter-combinations-of-a-phone-number/
Recursion & Backtracking,131 Palindrome Partitioning,Medium,https://leetcode.com/problems/palindrome-partitioning/
Recursion & Backtracking,78 Subsets,Medium,https://leetcode.com/problems/subsets/
Binary Search & D&C,704 Binary Search,Easy,https://leetcode.com/problems/binary-search/
Binary Search & D&C,33 Search in Rotated Sorted Array,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array/
Binary Search & D&C,153 Find Minimum in Rotated Sorted Array,Medium,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
Binary Search & D&C,162 Find Peak Element,Medium,https://leetcode.com/problems/find-peak-element/
Binary Search & D&C,875 Koko Eating Bananas,Medium,https://leetcode.com/problems/koko-eating-bananas/
Binary Search & D&C,410 Split Array Largest Sum,Hard,https://leetcode.com/problems/split-array-largest-sum/
Binary Search & D&C,240 Search a 2D Matrix II,Medium,https://leetcode.com/problems/search-a-2d-matrix-ii/
Binary Search & D&C,4 Median of Two Sorted Arrays,Hard,https://leetcode.com/problems/median-of-two-sorted-arrays/
Linked Lists Stacks & Queues,206 Reverse Linked List,Easy,https://leetcode.com/problems/reverse-linked-list/
Linked Lists Stacks & Queues,141 Linked List Cycle,Easy,https://leetcode.com/problems/linked-list-cycle/
Linked Lists Stacks & Queues,25 Reverse Nodes in k-Group,Hard,https://leetcode.com/problems/reverse-nodes-in-k-group/
Linked Lists Stacks & Queues,21 Merge Two Sorted Lists,Easy,https://leetcode.com/problems/merge-two-sorted-lists/
Linked Lists Stacks & Queues,23 Merge k Sorted Lists,Hard,https://leetcode.com/problems/merge-k-sorted-lists/
Linked Lists Stacks & Queues,155 Min Stack,Medium,https://leetcode.com/problems/min-stack/
Linked Lists Stacks & Queues,739 Daily Temperatures,Medium,https://leetcode.com/problems/daily-temperatures/
Linked Lists Stacks & Queues,853 Car Fleet,Medium,https://leetcode.com/problems/car-fleet/
Queue,232 Implement Queue using Stacks,Easy,https://leetcode.com/problems/implement-queue-using-stacks/
Queue,622 Design Circular Queue,Medium,https://leetcode.com/problems/design-circular-queue/
Queue,239 Sliding Window Maximum,Hard,https://leetcode.com/problems/sliding-window-maximum/
Queue,862 Shortest Subarray with Sum at Least K,Hard,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/
Queue,1425 Constrained Subsequence Sum,Hard,https://leetcode.com/problems/constrained-subsequence-sum/
Trees & BSTs,94 Binary Tree Inorder Traversal,Easy,https://leetcode.com/problems/binary-tree-inorder-traversal/
Trees & BSTs,102 Binary Tree Level Order Traversal,Medium,https://leetcode.com/problems/binary-tree-level-order-traversal/
Trees & BSTs,105 Construct Binary Tree from Preorder and Inorder Traversal,Medium,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
Trees & BSTs,226 Invert Binary Tree,Easy,https://leetcode.com/problems/invert-binary-tree/
Trees & BSTs,124 Binary Tree Maximum Path Sum,Hard,https://leetcode.com/problems/binary-tree-maximum-path-sum/
Trees & BSTs,235 Lowest Common Ancestor of a BST,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/ 
